sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
MN,0,26,A,U,A,U,B,U,0,S4,,,,,AC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
MN,0,71,E,M,W,U,A,U,0,R2,,,,,AC,,,,,,,,,,,,,,,9,9,75,3,50,6,100,0,0,0,0,0,0
MN,0,43,C,M,W,U,A,H,0,S4,,,,,AC,,,,,,PC,,,,,,,,,9,9,75,4,67,5,83,1,0,0,0,0,0
MN,0,54,D,M,U,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,53,D,M,W,U,B,H,0,R2,,,,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,5,2,0,0,0,0
MN,0,50,D,M,W,U,A,H,0,R1,,,,,PC,,,,,,,,,,,,,,,8,8,80,3,60,5,100,1,2,0,0,0,0
MN,0,78,F,F,W,U,C,H,1,S4,,,,,AC,,,,,,,,,,,,,,,11,11,92,5,83,6,100,5,2,0,0,0,0
MN,0,66,E,F,W,U,A,H,1,S4,AC,,,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,2,4,0,0,0,0
MN,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,37,B,M,W,U,A,U,1,S3,,,,,AC,,,,,,PC,,,,,,,,,9,9,90,4,80,5,100,1,1,0,0,0,0
MN,0,60,D,F,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,31,B,M,W,,B,H,1,S4,,,,,YP,,,,,,,,,,,,,,,3,3,50,0,0,3,100,0,0,0,0,0,0
MN,0,65,E,F,A,U,B,H,0,S4,AC,,AC,,AC,,,,,,AC,,,,,,,,,5,5,83,3,100,2,67,0,1,1,33,0,0
MN,0,25,A,M,W,,B,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,80,F,M,A,U,,R,0,U5,AC,,,,AC,,,,,,,,,,,,,,,4,4,40,1,20,3,60,0,1,0,0,0,0
MN,0,59,D,M,W,U,A,H,1,R1,,,,,MC,,,,,,,,,,,,,,,11,11,92,5,83,6,100,0,2,0,0,0,0
MN,0,83,F,M,W,U,C,H,1,R2,AC,,,,AC,,,,AC,,AC,,,,,,PC,,,12,12,100,6,100,6,100,5,11,1,17,0,0
MN,0,48,C,F,W,U,B,H,1,U5,,,,,PC,,,,,,PC,,,,,,,,,9,9,90,4,80,5,100,2,0,0,0,0,0
MN,0,39,B,M,W,U,A,U,0,R2,,,,,PC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
MN,0,82,F,F,W,U,A,H,0,U5,AC,,,,AC,,,,,,,,,,,,,,,11,11,92,5,83,6,100,2,2,0,0,0,0
MN,0,57,D,M,W,U,B,H,1,S3,,,,,,,,,,,,,,,,,,,,1,1,17,0,0,1,33,1,0,0,0,0,0
MN,0,,,F,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,62,D,M,W,,A,R,0,R1,,,,,AP,,,,,,AP,,,,,,,,,2,2,67,1,50,1,100,0,0,0,0,0,0
MN,0,27,A,M,W,U,B,U,0,R1,,,,,PC,,,,,,PC,,,,,,PC,,,3,3,60,2,67,1,50,0,0,1,50,0,0
MN,0,49,C,F,W,U,A,H,1,S3,,,,,AC,,,,,,PC,,,,,,PC,,,12,12,100,6,100,6,100,5,0,1,17,0,0
MN,0,39,B,M,W,U,B,R,1,U5,,,,,PC,,,,,,PC,,,,,,,,,9,9,90,4,80,5,100,0,0,0,0,0,0
MN,0,63,D,M,W,U,A,H,0,S3,,,,,PC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
MN,0,,,M,W,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,28,A,F,W,U,C,H,1,S4,PC,,PC,,AC,,,,,,PC,,,,,,,,,5,5,100,3,100,2,100,3,2,1,50,0,0
MN,0,28,A,F,W,U,A,H,0,R1,,,,,AC,,,,,,PC,,,,,,,,,5,5,100,3,100,2,100,0,1,0,0,0,0
MN,0,,,M,H,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,70,E,M,W,U,B,H,1,R2,,,,,AC,,,,,,PC,,,,,,,,,11,11,92,5,83,6,100,4,1,0,0,0,0
MN,0,85,F,F,W,U,E,H,0,R1,AC,,PC,,AC,,,,PC,,PC,,,,,,PC,,,11,11,92,5,83,6,100,3,13,2,33,0,0
MN,0,59,D,M,W,U,B,H,0,U5,AC,,PC,,AC,,,,PC,,PC,,,,,,PC,,,9,9,100,5,100,4,100,4,2,2,50,0,0
MN,0,91,F,F,W,U,E,H,0,R1,PC,,PC,,PC,,,,,,,,,,,,,,,11,11,92,5,83,6,100,2,6,1,17,0,0
MN,0,45,C,M,W,U,B,H,0,U5,,,,,AC,,,,PC,,PC,,,,,,,,,10,10,100,5,100,5,100,5,3,0,0,0,0
MN,0,49,C,M,W,U,C,H,0,R2,,,,,PC,,,,PC,,,,,,,,,,,9,9,75,3,50,6,100,0,1,0,0,0,0
MN,0,,,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,64,D,F,W,U,A,H,1,S3,,,PC,,PC,,,,PC,,PC,,,,,,PC,,,11,11,92,6,100,5,83,4,3,2,33,0,0
MN,0,48,C,M,W,U,B,H,0,U5,PC,,PC,,AC,,,,,,AC,,,,,,,,,10,10,100,5,100,5,100,2,2,1,20,0,0
MN,0,37,B,F,W,,B,H,1,S4,YP,,,,YP,,,,,,,,,,,,,,,5,5,83,2,67,3,100,2,4,1,33,0,0
MN,0,24,A,F,W,U,B,H,1,R1,,,,,PC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
MN,0,42,C,F,W,U,A,R,1,R1,MC,,,,MC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,1,0,0,0,0
MN,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,63,D,M,W,U,C,H,1,U5,,,,,AC,,,,,,AC,,,,,,,,,11,11,92,5,83,6,100,1,1,0,0,0,0
MN,0,54,D,F,H,U,A,U,0,R1,PC,,PC,,PC,,,,PC,,PC,,,,,,PC,,,11,11,100,6,100,5,100,3,10,2,40,0,0
MN,0,73,E,F,W,U,C,U,0,S3,,,PC,,AC,,,,,,AC,,,,,,,,,3,3,100,2,100,1,100,0,1,1,100,0,0
MN,0,49,C,M,W,,A,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,58,D,M,W,,B,H,1,R1,YP,,,,YP,,,,,,,,,,,,,,,11,11,92,5,83,6,100,3,6,0,0,0,0
MN,0,37,B,M,W,D,B,U,1,S4,YC,,,,YC,,,,,,MC,,,,,,,,,4,4,100,2,100,2,100,0,2,1,50,0,0
MN,0,23,A,F,W,U,A,H,1,R2,,,,,PC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
MN,0,34,B,U,A,U,B,H,0,S3,,,,,AC,,,,,,AC,,,,,,,,,6,6,75,2,50,4,100,3,1,0,0,0,0
MN,0,71,E,F,W,U,E,H,1,R1,,,,,PC,,,,,,PC,,,,,,,,,5,5,63,1,25,4,100,0,0,0,0,0,0
MN,0,52,D,M,U,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,52,D,M,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,86,F,F,W,U,A,H,1,R1,MC,,,,MC,,,,,,,,,,,,,,,9,9,75,3,50,6,100,1,1,0,0,0,0
MN,0,80,F,F,W,U,A,R,0,R2,,,,,EP,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
MN,0,45,C,F,W,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,36,B,F,W,R,A,U,1,R2,,,,,QC,,,,PP,,PP,,,,,,,,,8,8,89,4,80,4,100,1,1,0,0,0,0
MN,0,30,B,M,W,U,A,H,1,R1,,,,,PC,,,,,,PC,,,,,,,,,4,4,100,2,100,2,100,0,0,0,0,0,0
MN,0,23,A,F,W,U,A,H,0,R1,,,,,MC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,1,0,0,0,0,0
MN,0,60,D,M,W,U,E,H,1,R2,PP,,,,EP,,,,AC,,AC,,,,,,,,,4,4,57,3,75,1,33,0,1,0,0,0,0
MN,0,,,M,H,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,28,A,M,W,U,,H,1,U5,,,,,AC,,,,,,PC,,,,,,,,,2,2,40,1,33,1,50,2,0,1,50,0,0
MN,0,25,A,F,W,U,C,H,0,R1,PC,,,,PC,,,,PC,,PC,,,,,,,,,4,4,100,2,100,2,100,2,4,0,0,0,0
MN,0,,,F,W,,B,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,63,D,F,W,U,B,U,0,S4,,,,,AC,,,,,,PC,,,,,,PC,,,10,10,83,4,67,6,100,4,0,1,17,0,0
MN,0,39,B,U,W,U,A,U,0,S4,,,,,PC,,,,,,,,,,,,,,,3,3,75,1,50,2,100,1,0,0,0,0,0
MN,0,34,B,M,W,U,A,U,0,S3,,,,,PC,,,,,,,,,,,,,,,5,5,63,1,25,4,100,0,0,0,0,0,0
MN,0,87,F,M,W,U,A,H,1,S4,AC,,PC,,AC,,,,PC,,AC,,,,,,PC,,,12,12,100,6,100,6,100,1,10,2,33,0,0
MN,0,72,E,F,W,U,E,H,1,S4,AC,,AC,,AC,,,,AC,,AC,,,,,,AC,,,12,12,100,6,100,6,100,7,12,2,33,0,0
MN,0,53,D,F,H,U,A,U,0,R1,,,,,AC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,0,0,0,0,0
MN,0,,,M,W,,E,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,66,E,F,W,U,B,H,1,U5,,,,,AP,,,,PC,,PC,,,,,,,,,9,9,75,3,50,6,100,1,3,0,0,0,0
MN,0,52,D,F,A,,D,H,1,S4,,,,,PC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
MN,0,77,F,M,W,U,B,H,1,R2,,,,,AC,AC,,,,,PC,,,,,,,,,10,10,83,4,67,6,100,2,1,0,0,0,0
MN,0,57,D,M,W,U,A,H,0,U5,,,,,AC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
MN,0,74,E,M,W,U,B,H,0,U5,PC,,PC,,AC,,,,PC,,AC,,,,,,,,,12,12,100,6,100,6,100,10,4,1,17,0,0
MN,0,95,F,M,W,,C,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,37,B,F,W,U,A,H,0,R1,,,,,PC,,,,,,PC,,,,,,PC,,,7,7,88,3,75,4,100,3,1,1,25,0,0
MN,0,21,A,M,W,U,B,H,1,R1,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
MN,0,71,E,F,W,U,A,H,1,S3,,,,,AC,,,,AC,,AC,,,,,,PC,,,8,8,67,2,33,6,100,0,1,1,17,0,0
MN,0,18,A,F,W,U,B,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,,,U,W,,A,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,56,D,M,W,U,B,H,0,S4,PC,,PC,,PC,,,,PC,,PC,,,,,,,,,12,12,100,6,100,6,100,2,2,1,17,0,0
MN,0,40,C,F,W,U,A,H,1,R1,,,,,PC,,,,PC,,,,,,,,,,,6,6,60,1,20,5,100,4,1,0,0,0,0
MN,0,64,D,F,W,U,B,U,0,R2,,,,,AC,,,,PC,,PC,,,,,,PC,,,12,12,100,6,100,6,100,0,3,1,17,0,0
MN,0,98,F,M,W,,B,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,65,E,F,W,,E,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,35,B,F,B,U,A,U,0,U5,,,,,PC,,,,,,PC,,,,,,,,,4,4,50,2,50,2,50,0,0,0,0,0,0
MN,0,19,A,F,W,U,B,H,0,R2,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
MN,0,36,B,M,W,U,A,H,0,R1,,,,,PC,,,,,,PC,,,,,,,,,3,3,75,1,50,2,100,0,0,0,0,0,0
MN,0,,,M,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,56,D,M,W,U,A,H,0,,,,,,AC,,,,PC,,PC,,,,,,,,,2,2,100,1,100,1,100,1,1,0,0,0,0
MN,0,57,D,M,W,U,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,29,A,U,W,U,B,H,0,U5,,,PC,,AC,,,,,,PC,,,,,,,,,5,5,100,3,100,2,100,2,0,1,50,0,0
MN,0,62,D,F,A,U,B,H,1,S3,,,,,PC,,,,,,PC,,,,,,,,,8,8,67,3,50,5,83,0,0,0,0,0,0
MN,0,23,A,F,W,U,A,U,0,S3,,,,,PC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
MN,0,49,C,M,W,U,E,H,1,R2,,,,,PC,,,,,,PC,,,,,,,,,6,6,60,2,40,4,80,1,0,0,0,0,0
MN,0,22,A,F,W,U,B,H,1,,PC,,PC,,PC,,,,,,,,,,,,PC,,,1,1,50,0,0,1,100,0,1,2,200,0,0
MN,0,32,B,M,B,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,58,D,F,W,U,C,H,0,S4,,,,,PC,,,,,,PC,,,,,,,,,8,8,67,2,33,6,100,0,0,0,0,0,0
MN,0,34,B,F,W,,A,H,1,U5,,,,,MP,,,,,,,,,,,,,,,2,2,40,1,33,1,50,1,0,0,0,0,0
MN,0,,,F,W,,A,R,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,70,E,M,W,U,B,U,0,U5,AC,,PC,,AC,,,,PC,,AC,,,,,,PC,,,11,11,92,5,83,6,100,6,7,2,33,0,0
MN,0,57,D,F,W,U,B,H,0,U5,,,,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,0,0,0,0,0,0
MN,0,79,F,F,W,U,C,H,1,U5,PC,,PC,,AC,,,,PC,,PC,,,,,,PC,,,12,12,100,6,100,6,100,5,10,2,33,0,0
MN,0,49,C,F,W,,E,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,21,A,M,W,U,B,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,68,E,F,W,U,C,H,1,R1,,,PC,,AC,,,,,,PC,,,,,,,,,4,4,100,2,100,2,100,0,0,1,50,0,0
MN,0,90,F,F,W,U,A,H,1,R1,MC,,,,MC,,,,,,MC,,,,,,MC,,,12,12,100,6,100,6,100,9,3,1,17,0,0
MN,0,43,C,M,W,U,A,H,0,R1,,,,,PC,,,,,,PC,,,,,,,,,6,6,75,3,75,3,75,1,0,0,0,0,0
MN,0,25,A,M,W,U,A,H,0,U5,,,,,PC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
MN,0,56,D,F,W,,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,54,D,F,W,U,E,H,1,R1,,,,,,,,,,,,,,,,,MC,,,0,0,0,0,0,0,0,1,0,1,0,0,0
MN,0,83,F,M,W,U,A,H,0,R2,,,,,YC,,,,,,,,,,,,,,,10,10,83,4,67,6,100,3,1,1,17,1,100
MN,0,63,D,F,W,U,B,H,1,S3,,,,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,1,0,0,0,0,0
MN,0,27,A,M,W,U,B,H,1,S4,,,,,AC,,,,,,AC,,,,,,,,,3,3,75,2,100,1,50,0,0,0,0,0,0
MN,0,,,M,A,,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,,,M,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,20,A,F,W,U,B,H,1,R1,,,,,,,,,,,AC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
MN,0,,,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,,,F,W,U,C,U,1,U5,,,,,YC,,,,,,,,,,,,,,,7,7,58,3,50,4,67,0,2,0,0,0,0
MN,0,32,B,F,W,U,B,H,1,S3,,,,,PC,,,,,,PC,,,,,,,,,7,7,100,4,100,3,100,3,0,0,0,0,0
MN,0,33,B,F,H,U,,H,0,U5,,,,,PC,,,,,,,,,,,,,,,6,6,86,3,75,3,100,2,1,0,0,0,0
MN,0,93,F,M,W,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,84,F,F,W,U,A,H,1,,,,,,PC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,2,3,0,0,0,0
MN,0,29,A,F,W,,,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,42,C,F,W,U,E,H,1,S3,,,,,AC,,,,,,AC,,,,,,,,,3,3,50,1,33,2,67,0,0,0,0,0,0
MN,0,64,D,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,69,E,M,W,,E,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,57,D,F,W,U,A,R,1,S4,AC,,PC,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,9,1,1,17,0,0
MN,0,42,C,F,W,U,B,H,1,U5,AC,,PC,,AC,,,,AC,,PC,,,,,,,,,10,10,100,5,100,5,100,3,3,1,20,0,0
MN,0,87,F,M,W,,B,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,25,A,F,W,U,A,H,0,R1,,,,,PC,,,,,,PC,,,,,,,,,4,4,100,2,100,2,100,0,0,0,0,0,0
MN,0,38,B,F,W,U,E,H,1,U5,,,,,AC,,,,,,PC,,,,,,,,,7,7,70,3,60,4,80,1,0,0,0,0,0
MN,0,30,B,M,W,U,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,52,D,F,W,U,B,H,0,R1,,,,,PC,,,,,,PC,,,,,,PC,,,12,12,100,6,100,6,100,4,4,1,17,0,0
MN,0,50,D,U,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,62,D,F,W,U,A,H,0,S3,,,,,PC,,,,PC,,PC,,,,,,PC,,,4,4,100,2,100,2,100,0,2,1,50,0,0
MN,0,45,C,F,W,U,C,H,0,S3,PC,,PC,,AC,,,,,,PC,,,,,,PC,,,7,7,88,3,75,4,100,3,1,2,50,0,0
MN,0,68,E,F,W,U,C,H,1,R1,MC,,MC,,MC,,,,,,MC,,,,,,MC,,,8,8,100,4,100,4,100,3,3,2,50,0,0
MN,0,67,E,M,W,U,B,H,0,U5,AC,,AC,,AC,,,,PC,,AC,,,,,,,,,12,12,100,6,100,6,100,7,6,1,17,0,0
MN,0,71,E,M,W,U,B,H,0,S3,,,,,AC,,,,,,AC,,,,,,,,,12,12,100,6,100,6,100,6,3,0,0,0,0
MN,0,70,E,M,W,U,A,H,0,,,,,,PC,,,,,,PC,,,,,,,,,7,7,58,3,50,4,67,1,0,0,0,0,0
MN,0,27,A,F,W,U,B,H,1,R2,,,,,PC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
MN,0,60,D,M,W,U,A,H,0,R2,,,,,AC,,,,,,,,,,,,,,,5,5,45,2,33,3,60,1,0,0,0,0,0
MN,0,,,F,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,18,A,U,U,U,B,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,43,C,M,W,,B,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,65,E,M,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,,,M,W,,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,68,E,F,W,U,A,U,1,U5,,,,,,,,,,,,,,,,,,,,5,5,42,1,17,4,67,0,0,1,17,0,0
MN,0,65,E,F,W,U,A,H,1,R2,PC,,,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,9,2,0,0,0,0
MN,0,19,A,M,W,U,B,H,1,S3,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
MN,0,,,F,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,69,E,M,W,U,B,H,0,S4,,,,,AC,,,,,,PC,,,,,,,,,5,5,83,2,67,3,100,0,0,0,0,0,0
MN,0,41,C,M,W,U,B,H,1,R1,,,,,PC,,,,PC,,PC,,,,,,,,,6,6,55,3,50,3,60,2,2,0,0,0,0
MN,0,42,C,F,W,U,E,R,0,S3,,,,,PC,,,,,,,,,,,,PC,,,8,8,67,2,33,6,100,0,1,1,17,0,0
MN,0,37,B,M,W,U,B,U,0,U5,AC,,AC,,AC,,,,AC,,AC,,,,,,AC,,,4,4,100,2,100,2,100,3,3,2,100,0,0
MN,0,25,A,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,1,1,33,1,50,0,0,0,1,0,0,0,0
MN,0,,,F,A,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,23,A,F,W,U,A,U,0,U5,,,PC,,AC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,1,100,0,0
MN,0,63,D,M,W,U,A,R,1,R2,,,,,AC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,0,0,0,0,0
MN,0,82,F,M,W,U,C,H,1,R1,,,,,AC,,,,,,PC,,,,,,,,,8,8,89,5,100,3,75,1,0,0,0,0,0
MN,0,65,E,F,W,U,A,U,0,R2,,,,,AC,,,,,,,,,,,,,,,2,2,17,0,0,2,33,0,0,0,0,0,0
MN,0,63,D,M,W,,A,U,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,30,B,F,W,U,B,H,0,S4,,,,,AC,,,,,,PC,,,,,,,,,4,4,100,2,100,2,100,0,0,0,0,0,0
MN,0,,,F,W,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,37,B,U,W,U,A,U,0,S4,,,,,,,,,,,,,,,,,PC,,,4,4,40,1,20,3,60,0,0,1,20,0,0
MN,0,56,D,F,W,U,E,H,1,U5,,,,,PC,,,,PC,,PC,,,,,,PC,,,6,6,75,2,50,4,100,0,1,1,25,0,0
MN,0,,,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,70,E,M,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,64,D,M,W,U,C,H,1,R1,,,,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,4,0,0,0,0,0
MN,0,37,B,M,W,U,B,H,1,U5,,,,,AC,,,,,,AC,,,,,,,,,7,7,88,3,75,4,100,0,0,0,0,0,0
MN,0,20,A,M,H,U,B,H,1,R1,,,,,,,,,PC,,MC,,,,,,MC,,,1,1,100,1,100,0,0,0,1,1,0,0,0
MN,0,54,D,M,W,U,B,H,1,S4,,,,,AC,,,,,,,,,,,,,,,7,7,70,2,40,5,100,0,0,0,0,0,0
MN,0,46,C,F,W,U,B,H,1,U5,AC,,PC,,AC,,,,PC,,AC,,,,,,,,,10,10,100,5,100,5,100,2,4,1,20,0,0
MN,0,28,A,U,W,U,A,H,0,R1,,,,,PC,,,,,,,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
MN,0,67,E,F,A,U,E,H,0,S4,,,,,PC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,0,0,0,0,0,0
MN,0,42,C,F,W,U,E,U,0,S4,,,,,AC,,,,,,PC,,,,,,PC,,,8,8,73,4,67,4,80,0,0,1,20,0,0
MN,0,86,F,M,W,U,A,H,1,R1,,,,,AC,,,,,,,,,,,,,,,11,11,92,5,83,6,100,2,4,0,0,0,0
MN,0,,,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,80,F,F,W,U,A,H,0,R1,AC,,PC,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,3,1,1,17,0,0
MN,0,72,E,M,W,U,C,H,1,R2,,,,,AC,AC,,,,,PC,,,,,,,,,11,11,92,6,100,5,83,6,3,0,0,0,0
MN,0,88,F,M,W,,A,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,93,F,F,W,U,A,H,0,R2,,,,,AC,,,,AC,,AC,,,,,,,,,12,12,100,6,100,6,100,6,11,0,0,0,0
